	nodes	start	end	len	descendants	status
0	[]	0	242	242	[]	clonal
1	[6]	242	507	265	['']	recom
2	[]	507	822	315	[]	clonal
3	[7]	822	1207	385	['']	recom
4	[]	1207	1266	59	[]	clonal
5	[6]	1266	1833	567	['']	recom
6	[]	1833	2198	365	[]	clonal
7	[3]	2198	2669	471	['']	recom
8	[]	2669	2684	15	[]	clonal
9	[0]	2684	3250	566	['']	recom
10	[]	3250	3601	351	[]	clonal
11	[10]	3601	3918	317	[{9, 5}]	recom
12	[]	3918	4109	191	[]	clonal
13	[7]	4109	4410	301	['']	recom
14	[7, 15]	4410	4720	310	['', {1, 2, 3, 5, 7, 8, 9}]	overlap
15	[7]	4720	4792	72	['']	recom
16	[]	4792	5000	208	[]	clonal
