	nodes	start	end	len	descendants	status
0	[]	0	589	589	[]	clonal
1	[16]	589	983	394	[{0, 1, 3, 4, 7}]	recom
2	[]	983	1321	338	[]	clonal
3	[4]	1321	1523	202	['']	recom
4	[]	1523	1737	214	[]	clonal
5	[11]	1737	2003	266	[{8, 2, 5}]	recom
6	[]	2003	2644	641	[]	clonal
7	[1]	2644	2885	241	['']	recom
8	[]	2885	3548	663	[]	clonal
9	[16]	3548	3892	344	[{0, 1, 3, 4, 7}]	recom
10	[]	3892	4223	331	[]	clonal
11	[14]	4223	4600	377	[{1, 3}]	recom
12	[]	4600	4642	42	[]	clonal
13	[7]	4642	4908	266	['']	recom
14	[]	4908	5000	92	[]	clonal
